Wavelength,n,k
1.09,0.128628,7.69048
1.0925,0.12919,7.709266
1.095,0.129754,7.728048
1.0975,0.13032,7.746828
1.1,0.130887,7.765604
1.1025,0.131457,7.784379
1.105,0.132028,7.80315
1.1075,0.132601,7.821918
1.11,0.133176,7.840684
1.1125,0.133753,7.859448
1.115,0.134331,7.878209
1.1175,0.134911,7.896966
1.12,0.135493,7.915722
1.1225,0.136077,7.934475
1.125,0.136662,7.953225
1.1275,0.137249,7.971972
1.13,0.137838,7.990718
1.1325,0.138429,8.00946
1.135,0.139022,8.0282
1.1375,0.139616,8.046938
1.14,0.140212,8.065673
1.1425,0.14081,8.084406
1.145,0.141409,8.103136
1.1475,0.14201,8.121864
1.15,0.142613,8.140589
1.1525,0.143218,8.159312
1.155,0.143824,8.178033
1.1575,0.144432,8.196751
1.16,0.145042,8.215466
1.1625,0.145654,8.23418
1.165,0.146267,8.252892
1.1675,0.146882,8.2716
1.17,0.147499,8.290307
1.1725,0.148117,8.309011
1.175,0.148737,8.327713
1.1775,0.149359,8.346413
1.18,0.149983,8.36511
1.1825,0.150608,8.383805
1.185,0.151235,8.402498
1.1875,0.151863,8.421189
1.19,0.152494,8.439878
1.1925,0.153126,8.458564
1.195,0.153759,8.477248
1.1975,0.154395,8.495931
1.2,0.155032,8.51461
1.2025,0.155671,8.533288
1.205,0.156311,8.551964
1.2075,0.156953,8.570638
1.21,0.157597,8.58931
1.2125,0.158242,8.607979
1.215,0.158889,8.626646
1.2175,0.159538,8.645311
1.22,0.160188,8.663975
1.2225,0.16084,8.682636
1.225,0.161494,8.701295
1.2275,0.162149,8.719953
1.23,0.162806,8.738607
1.2325,0.163465,8.757261
1.235,0.164125,8.775912
1.2375,0.164787,8.794561
1.24,0.165451,8.81321
1.2425,0.166116,8.831855
1.245,0.166783,8.850498
1.2475,0.167452,8.86914
1.25,0.168122,8.887779
1.2525,0.168794,8.906417
1.255,0.169467,8.925054
1.2575,0.170142,8.943687
1.26,0.170819,8.962319
1.2625,0.171497,8.980949
1.265,0.172177,8.999578
1.2675,0.172859,9.018205
1.27,0.173542,9.03683
1.2725,0.174226,9.055453
1.275,0.174913,9.074074
1.2775,0.175601,9.092693
1.28,0.176291,9.111311
1.2825,0.176982,9.129927
1.285,0.177675,9.148541
1.2875,0.178369,9.167153
1.29,0.179065,9.185764
1.2925,0.179763,9.204373
1.295,0.180462,9.22298
1.2975,0.181163,9.241586
1.3,0.181865,9.260189
1.3025,0.182569,9.278791
1.305,0.183275,9.297392
1.3075,0.183982,9.31599
1.31,0.184691,9.334587
1.3125,0.185401,9.353183
1.315,0.186114,9.371777
1.3175,0.186827,9.390368
1.32,0.187542,9.408958
1.3225,0.188259,9.427547
1.325,0.188977,9.446135
1.3275,0.189697,9.46472
1.33,0.190419,9.483304
1.3325,0.191142,9.501886
1.335,0.191866,9.520467
1.3375,0.192593,9.539046
1.34,0.19332,9.557624
1.3425,0.19405,9.5762
1.345,0.194781,9.594774
1.3475,0.195513,9.613347
1.35,0.196247,9.631918
1.3525,0.196983,9.650488
1.355,0.19772,9.669056
1.3575,0.198459,9.687623
1.36,0.199199,9.706188
1.3625,0.199941,9.724752
1.365,0.200684,9.743315
1.3675,0.201429,9.761875
1.37,0.202176,9.780435
1.3725,0.202924,9.798992
1.375,0.203674,9.817549
1.3775,0.204425,9.836103
1.38,0.205178,9.854657
1.3825,0.205932,9.873209
1.385,0.206688,9.89176
1.3875,0.207445,9.910309
1.39,0.208204,9.928856
1.3925,0.208964,9.947403
1.395,0.209726,9.965947
1.3975,0.21049,9.98449
1.4,0.211255,10.003033
1.4025,0.212021,10.021573
1.405,0.21279,10.040112
1.4075,0.213559,10.058651
1.41,0.214331,10.077188
1.4125,0.215103,10.095722
1.415,0.215878,10.114256
1.4175,0.216653,10.132789
1.42,0.217431,10.15132
1.4225,0.21821,10.169849
1.425,0.21899,10.188378
1.4275,0.219772,10.206905
1.43,0.220555,10.22543
1.4325,0.22134,10.243956
1.435,0.222127,10.262479
1.4375,0.222915,10.281
1.44,0.223704,10.29952
1.4425,0.224495,10.31804
1.445,0.225288,10.336558
1.4475,0.226082,10.355075
1.45,0.226877,10.37359
1.4525,0.227675,10.392104
1.455,0.228473,10.410617
1.4575,0.229273,10.429129
1.46,0.230075,10.447639
1.4625,0.230878,10.466148
1.465,0.231683,10.484656
1.4675,0.232489,10.503162
1.47,0.233297,10.521668
1.4725,0.234106,10.540173
1.475,0.234916,10.558676
1.4775,0.235729,10.577177
1.48,0.236542,10.595677
1.4825,0.237357,10.614177
1.485,0.238174,10.632675
1.4875,0.238992,10.651172
1.49,0.239812,10.669668
1.4925,0.240633,10.688163
1.495,0.241456,10.706656
1.4975,0.24228,10.725148
