Wavelength,n,k
0.755,3.993654,0.452709
0.756,3.993077,0.450612
0.757,3.992496,0.448521
0.758,3.991913,0.446438
0.759,3.991327,0.444361
0.76,3.990737,0.442291
0.761,3.990145,0.440227
0.762,3.989551,0.438171
0.763,3.988953,0.436121
0.764,3.988352,0.434078
0.765,3.987749,0.432042
0.766,3.987143,0.430012
0.767,3.986534,0.42799
0.768,3.985922,0.425973
0.769,3.985308,0.423964
0.77,3.984691,0.421961
0.771,3.984071,0.419965
0.772,3.983449,0.417975
0.773,3.982824,0.415992
0.774,3.982197,0.414016
0.775,3.981566,0.412046
0.776,3.980934,0.410083
0.777,3.980299,0.408126
0.778,3.979661,0.406175
0.779,3.979021,0.404232
0.78,3.978378,0.402294
0.781,3.977733,0.400363
0.782,3.977086,0.398439
0.783,3.976436,0.396521
0.784,3.975783,0.394609
0.785,3.975129,0.392704
0.786,3.974472,0.390805
0.787,3.973812,0.388913
0.788,3.973151,0.387026
0.789,3.972487,0.385147
0.79,3.971821,0.383273
0.791,3.971152,0.381406
0.792,3.970481,0.379545
0.793,3.969808,0.37769
0.794,3.969133,0.375842
0.795,3.968456,0.373999
0.796,3.967777,0.372163
0.797,3.967095,0.370333
0.798,3.966411,0.36851
0.799,3.965725,0.366692
0.8,3.965038,0.364881
0.801,3.964348,0.363076
0.802,3.963655,0.361277
0.803,3.962961,0.359484
0.804,3.962265,0.357697
0.805,3.961567,0.355916
0.806,3.960867,0.354141
0.807,3.960166,0.352372
0.808,3.959461,0.350609
0.809,3.958755,0.348853
0.81,3.958048,0.347102
0.811,3.957338,0.345357
0.812,3.956627,0.343618
0.813,3.955913,0.341885
0.814,3.955198,0.340158
0.815,3.954481,0.338437
0.816,3.953762,0.336722
0.817,3.953041,0.335013
0.818,3.952319,0.333309
0.819,3.951595,0.331612
0.82,3.950869,0.32992
0.821,3.950141,0.328234
0.822,3.949412,0.326554
0.823,3.948681,0.32488
0.824,3.947948,0.323211
0.825,3.947213,0.321548
0.826,3.946477,0.319891
0.827,3.94574,0.31824
0.828,3.945,0.316594
0.829,3.944259,0.314955
0.83,3.943517,0.31332
0.831,3.942773,0.311692
0.832,3.942027,0.310069
0.833,3.94128,0.308452
0.834,3.940531,0.30684
0.835,3.939781,0.305235
0.836,3.939029,0.303634
0.837,3.938276,0.30204
0.838,3.937521,0.30045
0.839,3.936765,0.298867
0.84,3.936008,0.297289
0.841,3.935249,0.295716
0.842,3.934488,0.294149
0.843,3.933726,0.292588
0.844,3.932963,0.291032
0.845,3.932199,0.289481
0.846,3.931433,0.287936
0.847,3.930665,0.286397
0.848,3.929897,0.284863
0.849,3.929127,0.283334
0.85,3.928355,0.281811
0.851,3.927583,0.280293
0.852,3.926809,0.27878
0.853,3.926034,0.277273
0.854,3.925258,0.275772
0.855,3.92448,0.274275
0.856,3.923702,0.272784
0.857,3.922921,0.271298
0.858,3.92214,0.269818
0.859,3.921358,0.268343
0.86,3.920574,0.266873
0.861,3.91979,0.265408
0.862,3.919004,0.263949
0.863,3.918217,0.262495
0.864,3.917428,0.261046
0.865,3.916639,0.259602
0.866,3.915849,0.258164
0.867,3.915058,0.256731
0.868,3.914265,0.255303
0.869,3.913471,0.25388
0.87,3.912677,0.252462
0.871,3.911881,0.251049
0.872,3.911085,0.249642
0.873,3.910287,0.24824
0.874,3.909488,0.246842
0.875,3.908689,0.24545
0.876,3.907888,0.244063
0.877,3.907086,0.242681
0.878,3.906284,0.241304
0.879,3.90548,0.239932
0.88,3.904676,0.238565
0.881,3.903871,0.237204
0.882,3.903064,0.235847
0.883,3.902257,0.234495
0.884,3.901449,0.233148
0.885,3.90064,0.231806
0.886,3.89983,0.230469
0.887,3.899019,0.229137
0.888,3.898208,0.22781
0.889,3.897396,0.226488
0.89,3.896583,0.225171
0.891,3.895769,0.223858
0.892,3.894954,0.222551
0.893,3.894138,0.221248
0.894,3.893322,0.219951
0.895,3.892505,0.218658
0.896,3.891687,0.21737
0.897,3.890868,0.216087
0.898,3.890049,0.214808
0.899,3.889229,0.213535
0.9,3.888408,0.212266
0.901,3.887587,0.211002
0.902,3.886765,0.209743
0.903,3.885942,0.208489
0.904,3.885118,0.207239
0.905,3.884294,0.205994
0.906,3.883469,0.204754
0.907,3.882644,0.203518
0.908,3.881818,0.202288
0.909,3.880991,0.201062
0.91,3.880163,0.19984
0.911,3.879336,0.198624
0.912,3.878507,0.197412
0.913,3.877678,0.196204
0.914,3.876848,0.195002
0.915,3.876018,0.193803
0.916,3.875187,0.19261
0.917,3.874356,0.191421
0.918,3.873523,0.190237
0.919,3.872691,0.189057
0.92,3.871858,0.187882
0.921,3.871025,0.186712
0.922,3.870191,0.185546
0.923,3.869356,0.184384
0.924,3.868521,0.183227
0.925,3.867686,0.182075
0.926,3.86685,0.180927
0.927,3.866014,0.179784
0.928,3.865177,0.178645
0.929,3.864339,0.177511
0.93,3.863502,0.176381
0.931,3.862664,0.175256
0.932,3.861825,0.174135
0.933,3.860986,0.173018
0.934,3.860147,0.171906
0.935,3.859307,0.170798
0.936,3.858467,0.169695
0.937,3.857627,0.168596
0.938,3.856786,0.167502
0.939,3.855945,0.166412
0.94,3.855103,0.165326
0.941,3.854262,0.164245
0.942,3.85342,0.163168
0.943,3.852577,0.162096
0.944,3.851735,0.161027
0.945,3.850892,0.159964
0.946,3.850048,0.158904
0.947,3.849205,0.157849
0.948,3.848361,0.156798
0.949,3.847517,0.155751
0.95,3.846672,0.154709
0.951,3.845828,0.153671
0.952,3.844983,0.152637
0.953,3.844138,0.151607
0.954,3.843292,0.150582
0.955,3.842447,0.149561
0.956,3.841601,0.148544
0.957,3.840755,0.147531
0.958,3.839909,0.146522
0.959,3.839062,0.145518
0.96,3.838216,0.144518
0.961,3.837369,0.143522
0.962,3.836523,0.14253
0.963,3.835676,0.141543
0.964,3.834828,0.140559
0.965,3.833981,0.13958
0.966,3.833134,0.138605
0.967,3.832286,0.137634
0.968,3.831439,0.136667
